,HA RPI,HA RPI,Second RPI,Second RPI
,Sent to Second RPI,Receive from Second RPI,Sent to agg,Receive from agg
initialisation,14077,0,51,0
round 1,0,0,32497,32497
round 2,0,0,32497,32497
round 3,0,0,32497,32497
round 4,0,0,32497,32497
round 5,0,0,32497,32497
round 6,0,0,32497,32497
round 7,0,0,32497,32497
round 8,0,0,32497,32497
round 9,0,0,32497,32497
round 10,0,0,32497,32497
round 11,0,0,32497,32497
round 12,0,0,32497,32497
round 13,0,0,32497,32497
round 14,0,0,32497,32497
round 15,0,0,32497,32497
round 16,0,0,32497,32497
round 17,0,0,32497,32497
round 18,0,0,32497,32497
round 19,0,0,32497,32497
round 20,0,0,32497,32497
round 21,0,0,32497,32497
round 22,0,0,32497,32497
round 23,0,0,32497,32497
round 24,0,0,32497,32497
round 25,0,0,32497,32497
round 26,0,0,32497,32497
round 27,0,0,32497,32497
round 28,0,0,32497,32497
round 29,0,0,32497,32497
round 30,0,0,32497,32497
round 31,0,0,32497,32497
round 32,0,0,32497,32497
round 33,0,0,32497,32497
round 34,0,0,32497,32497
round 35,0,0,32497,32497
round 36,0,0,32497,32497
round 37,0,0,32497,32497
round 38,0,0,32497,32497
round 39,0,0,32497,32497
round 40,0,0,32497,32497
round 41,0,0,32497,32497
round 42,0,0,32497,32497
round 43,0,0,32497,32497
round 44,0,0,32497,32497
round 45,0,0,32497,32497
round 46,0,0,32497,32497
round 47,0,0,32497,32497
round 48,0,0,32497,32497
round 49,0,0,32497,32497
round 50,0,0,32497,32497
Finalisation,0,934,0,0
